Turbine ID,Project Name,Facility,State,Coordinates,Address,Installed Capacity,Number of Units
105772,Scranton High School,Scranton High School,PA,"41.4189¡, -75.6667¡","63 Mike Munchak Way, Scranton, PA 18508",0.0021 MW,1
106738,Shawnee Mission West Wind Project,Shawnee Mission West High School,KS,"38.9769¡, -94.6875¡",8800 W 85th St,0.0021 MW,1
107718,Shelley High School Wind Project,Shelley High School,ID,"43.3728¡, -112.1342¡",,,1
106980,Sherrod Elementary Wind Project,Sherrod Elementary,AK,"61.6481¡, -149.1503¡",,,1
103853,Skyline High School Wind Project,Skyline High School,ID,"43.4867¡, -112.0656¡",,,1
108828,Smoky Valley Wind Project,Smoky Valley,KS,"38.5789¡, -97.6836¡",,,1
109612,Southeast Community College Wind Project,Southeast Community College,NE,"40.8147¡, -96.6003¡",,,1
108191,Southeastern Regional Vocational Technical High School,Southeastern Regional Vocational Technical High School,MA,"42.0081¡, -71.0822¡","250 Foundry Street, South Easton, MA 02375",0.002 MW,1
106316,Spotsylvania Career and Tech Center Wind Project,Spotsylvania Career and Tech Center,VA,"38.2308¡, -77.5564¡",,,1
110764,St. Michael Indian School Wind Project,St. Michael Indian School,AZ,"35.6472¡, -109.0975¡",,0.0024 MW,1
107674,Stratton Middle and High School Wind Project,Stratton Middle and High School,CO,"39.3042¡, -102.5997¡","219 Illinois Avenue, Stratton",0.0024 MW,1
110801,Superior Public Schools Wind Project,Superior Public Schools,NE,"40.0222¡, -98.0786¡",,,1
120341,Thomas Harrison Middle School Wind Project,Thomas Harrison Middle School,VA,"38.4528¡, -78.8908¡",,0.0024 MW,1
108780,Thomas Middle School Wind Project,Thomas Middle School,IL,"42.1022¡, -87.9783¡",,,1
108855,Townsend School District Wind Project,Townsend School District,MT,"46.3217¡, -111.5211¡",,,1
101339,UAA Mat-Su College,UAA Mat-Su College,AK,"61.5806¡, -149.2503¡",8295 East College Dr.,0.0024 MW,1
107270,USD 307 Ell-Saline Wind Project,USD 307 Ell-Saline,KS,"38.7719¡, -97.8614¡",,,1
110497,USD 345 Seaman High School Wind Project,USD 345 Seaman High School,KS,"39.1353¡, -95.6700¡",,,1
101169,USD 373 Walton Rural Life Wind Project,USD 373 Walton Rural Life,KS,"38.1183¡, -97.2606¡",,,1
109853,USD 375 Circle High School Wind Project,USD 375 Circle High School,KS,"37.7947¡, -96.9944¡",,,1
101053,USD 376 Sterling High School Wind Project,USD 376 Sterling High School,KS,"38.2167¡, -98.2025¡",,,1
106747,USD 384 Blue Valley Wind Project,USD 384 Blue Valley,KS,"39.4336¡, -96.7581¡",,,1
109555,USD 393 Solomon High School Wind Project,USD 393 Solomon High School,KS,"38.9242¡, -97.3694¡",,,1
30120019,USD 403 Wind Project,USD 403 Otis-Bison,KS,"38.5381¡, -99.0550¡",301 W. Eagle St.,,1
110808,USD 440 Halstead Schools Wind Project,USD 440 Halstead Schools,KS,"37.9983¡, -97.5103¡",,,1
107676,Walsh High School Wind Project,Walsh High School,CO,"37.3856¡, -102.2844¡","301 N California, Walsh",0.0024 MW,1
110700,Watauga High School Wind Project,Watauga High School,NC,"36.1992¡, -81.6747¡",,,1
107155,Wellington Middle School Wind Project,Wellington Middle School,CO,"40.7083¡, -105.0006¡",,0.0024 MW,1
109535,Wessington Springs Wind Project,Wessington Springs,SD,"44.0819¡, -98.5597¡",,,1
110457,West Holt Wind Project,West Holt,NE,"42.5411¡, -98.9786¡",,,1
120256,Western Illinois University Wind Project,Western Illinois University,IL,"40.4850¡, -90.6914¡",1215 Tower Rd,0.0024 MW,1
110697,Williams Elementary and Middle School Wind Project,Williams Elementary and Middle School,AZ,"35.2533¡, -112.1975¡",,0.0024 MW,1
101280,Yankton School District Wind Project,Yankton School District,SD,"42.8969¡, -97.4158¡",,,1
